course,Skills_Text
Strategic Leadership and Management,"c, r"
Software Design and Architecture,"c, data visualization, java, r, software engineering"
"Effective Communication: Writing, Design, and Presentation","c, r"
Scrum Master,"c, r"
Investment Management with Python and Machine Learning,"c, machine learning, python, r"
Academic English: Writing,r
(ISC)² Systems Security Certified Practitioner (SSCP),"c, cloud computing, r"
Agile Development,"agile software development, c, r, software engineering"
Introduction to Social Media Marketing,"c, git, r"
Introduction to Business,"c, git, r"
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","c, computer vision, deep learning, machine learning, neural networks, r, tensorflow"
Introduction to Calculus,"c, r"
Microsoft Azure Data Scientist Associate (DP-100),"azure, c, cloud computing, deep learning, machine learning, python, r"
Introduction to Discrete Mathematics for Computer Science,"c, python, r"
Project Launch,"c, r"
Machine Learning with Python,"c, machine learning, python, r"
Databases and SQL for Data Science with Python,"c, cloud computing, databases, python, r, sql"
Understanding the Brain: The Neurobiology of Everyday Life,r
Six Sigma Yellow Belt,"c, r"
Drug Development Product Management,r
Get Started with Python,"c, python, r"
Diversity and inclusion in the workplace,"c, r"
Business Data Management and Communication,"c, data visualization, r"
Put It to Work: Prepare for Cybersecurity Jobs,"c, python, r, sql"
Branding: The Creative Journey,"c, git, r"
Real-World Product Management,"c, r"
Introduction to Financial Accounting,"c, r"
Introduction to Systematic Review and Meta-Analysis,r
Google Project Management (DE),"c, r, software engineering"
Risk Management,"c, r"
Cybersecurity for Everyone,"c, r"
Agile with Atlassian Jira,"agile software development, c, r, software engineering"
Structuring Machine Learning Projects,"c, computer vision, deep learning, machine learning, neural networks, r"
Investment Management,"c, r"
Google Data Analytics Capstone: Complete a Case Study,"c, r, sql, tableau"
IBM Mainframe Developer,"c, r, software engineering"
Introduction to Marketing,"c, git, r"
Software Architecture for Big Data,"r, software engineering"
ITIL 4 Exam Preparation,r
Introduction to Project Management,"c, r"
Convolutional Neural Networks,"c, computer vision, deep learning, machine learning, neural networks, r, tensorflow"
Medical Neuroscience,
Web Design for Everybody: Basics of Web Development & Coding,"c, css, html, java, javascript, r, web development"
Global Diplomacy – Diplomacy in the Modern World,"c, r"
Google IT Support,
Conduct UX Research and Test Early Concepts,"c, r"
Data Visualization with Tableau,"c, data visualization, r, tableau"
Introduction to Mathematical Thinking,"c, r"
Global Procurement and Sourcing,"c, r"
Six Sigma Black Belt,"c, r"
IBM z/OS Mainframe Practitioner,"c, databases, r"
Preparing  Data for Analysis with Microsoft Excel,"c, power bi, r"
Python Basics,"c, python, r"
Human Resources Analytics,"c, data visualization, r"
Think Outside the Inbox: Email Marketing,"c, git, r"
Design Thinking,"c, r"
Good with Words: Writing and Editing,"c, r"
Google UX Design (DE),"c, r"
The Business of Music Production,"c, deep learning, r"
Dynamic Public Speaking,"c, r"
Fundamentals of Finance,"c, r"
Robotics,"c, computer vision, matlab, r"
Excel Skills for Business: Essentials,"c, data visualization, r"
Blockchain,"c, r, software engineering"
Google データアナリティクス,"c, data visualization, databases, r, sql, tableau"
Anatomy,r
IBM Full Stack Software Developer,
Machine Learning for Trading,"c, cloud computing, deep learning, machine learning, neural networks, python, r"
"Ethics, Technology and Engineering",r
Object Oriented Programming in Java,"c, java, r, software engineering"
The Art of Visual Storytelling,r
The DIY Musician,"c, r"
Salesforce Sales Development Representative,"c, r"
