Intern ID,Top Cluster,Top Cluster Role,Missing Skills,Recommended Courses
intern_0141,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0142,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0143,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0144,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Modern Robotics:  Mechanics, Planning, and Control, Google Data Analytics, Google Project Management:"
intern_0145,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0146,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0147,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM Data Science, Google Data Analytics, Google Project Management:"
intern_0148,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0149,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0150,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0151,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0152,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0153,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0154,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0155,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0156,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0157,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0158,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0159,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0160,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM Applied AI, Google Data Analytics, Google Project Management:"
intern_0161,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
